gameSlug,videoSrc,imgSrc,url,name,score,type
sniper-ultimate-assassin-2,https://videos.crazygames.com/sniper-ultimate-assassin-2.mp4,"https://images.crazygames.com/sniperultimateassassin2.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",http://www.crazygames.com/game/sniper-ultimate-assassin-2,"
Sniper Ultimate Assassin 2 ","
8.3 ",shooting
plated-glory,https://videos.crazygames.com/plated-glory.mp4,"https://images.crazygames.com/platedglory.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/plated-glory,"
Plated Glory ","
8.8 ",shooting
starfire-asteroids-of-the-swarm,https://videos.crazygames.com/starfire-asteroids-of-the-swarmb.mp4,"https://images.crazygames.com/starfireasteroidsoftheswarm.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/starfire-asteroids-of-the-swarm,"
Starfire: Asteroids of the Swarm ","
9.1 ",shooting
one-man-invasion,https://videos.crazygames.com/one-man-invasion.mp4,"https://images.crazygames.com/onemaninvasion.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",http://www.crazygames.com/game/one-man-invasion,"
One Man Invasion ","
8.9 ",shooting
insurgents-2,https://videos.crazygames.com/insurgents-2/1/insurgents-2-180x111.mp4,"https://images.crazygames.com/insurgents2.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/insurgents-2,"
Insurgents 2 ","
9.0 ",shooting
eggbot-vs-zombies,https://videos.crazygames.com/eggbot-vs-zombies.mp4,"https://images.crazygames.com/eggbot-vs-zombies?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/eggbot-vs-zombies,"
Eggbot vs Zombies ","
8.9 ",shooting
king-soldiers-4,https://videos.crazygames.com/king-soldiers-4-trimmed.mp4,"https://images.crazygames.com/kingsoldiers4.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/king-soldiers-4,"
King Soldiers 4 ","
9.3 ",shooting
spacecraft-i,https://videos.crazygames.com/spacecraft-i.mp4,"https://images.crazygames.com/spacecrafti.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/spacecraft-i,"
Spacecraft I ","
8.8 ",shooting
tanks-classic,https://videos.crazygames.com/tanks-classic/1/tanks-classic-thumbnail.mp4,"https://images.crazygames.com/games/tanks-classic/thumb-1555448777801.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/tanks-classic,"
Tanks Classic ","
8.7 ",shooting
strike-force-heroes-2,https://videos.crazygames.com/strike-force-heroes-2-trimmed.mp4,"https://images.crazygames.com/strikeforceheroes2.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/strike-force-heroes-2,"
Strike Force Heroes 2 ","
9.4 ",shooting
moorhuhn-shooter,https://videos.crazygames.com/moorhuhn-shooter.mp4,"https://images.crazygames.com/moorhuhnshooter.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/moorhuhn-shooter,"
Moorhuhn Shooter ","
8.4 ",shooting
pixel-hero-warfare,https://videos.crazygames.com/pixel-hero-warfare.mp4,"https://images.crazygames.com/pixelherowarfare.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/pixel-hero-warfare,"
Pixel Hero Warfare ","
9.3 ",shooting
shoot-your-nightmare-halloween,https://videos.crazygames.com/shoot-your-nightmare-halloween.mp4,"https://images.crazygames.com/shoot-your-nightmare-halloween.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/shoot-your-nightmare-halloween,"
Shoot Your Nightmare: Halloween Special ","
9.2 ",shooting
crazy-pixel-apocalypse-2,https://videos.crazygames.com/crazy-pixel-apocalypse-2.mp4,"https://images.crazygames.com/crazy-pixel-apocalypse-2.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/crazy-pixel-apocalypse-2,"
Crazy Pixel Apocalypse 2 ","
9.0 ",shooting
crazy-pixel-apocalypse-3,https://videos.crazygames.com/crazy-pixel-apocalypse-3.mp4,"https://images.crazygames.com/games/crazy-pixel-apocalypse-3/thumb-1548687580739.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/crazy-pixel-apocalypse-3,"
Crazy Pixel Apocalypse 3 ","
9.3 ",shooting
